Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
622,,622,path:ath00592:120,path:ath00592:120,false,162,556,8,8,C21924,,[C21924],[cpd:C21924],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C21924,
619,AT4G13010,619,path:ath00592:119,path:ath00592:119,false,214,556,46,17,AT4G13010,AT4G13010,[AT4G13010],[ath:AT4G13010],"#000000","#BFFFBF",rn:R12141,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT4G13010,
616,,616,path:ath00592:117,path:ath00592:117,false,253,556,8,8,C21923,,[C21923],[cpd:C21923],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C21923,
613,,613,path:ath00592:115,path:ath00592:115,false,655,421,8,8,C19757,,[C19757],[cpd:C19757],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C19757,
610,CHAT,610,path:ath00592:114,path:ath00592:114,false,598,422,46,17,CHAT,CHAT,[CHAT],[ath:AT3G03480],"#000000","#BFFFBF",rn:R09631,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT3G03480,
607,,607,path:ath00592:112,path:ath00592:112,false,545,421,8,8,C08492,,[C08492],[cpd:C08492],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08492,
604,ADH1,604,path:ath00592:111,path:ath00592:111,false,487,422,46,17,ADH1,ADH1,[ADH1],[ath:AT1G77120],"#000000","#BFFFBF",rn:R10783,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G77120,
601,13-HPOT,601,path:ath00592:91,path:ath00592:91,false,353,484,8,8,C04785,13-HPOT,[C04785],[cpd:C04785],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C04785,
598,3-Hexenal,598,path:ath00592:90,path:ath00592:90,false,435,421,8,8,C16310,3-Hexenal,[C16310],[cpd:C16310],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16310,
595,17-Hydroxylinolenic acid,595,path:ath00592:89,path:ath00592:89,false,137,230,8,8,C16346,17-Hydroxylinolenic acid,[C16346],[cpd:C16346],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16346,
