Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
1616,Valine,1616,path:ath00966:207,path:ath00966:207,false,797,228,152,34,"Valine, leucine and isoleucine biosynthesis",Valine,"[Valine, leucine and isoleucine biosynthesis]",[path:ath00290],"#000000","#89b9cE",,map,roundrectangle,https://www.kegg.jp/dbget-bin/www_bget?ath00290,
1613,(S)-3-Methyl-2-oxopentanoate,1613,path:ath00966:206,path:ath00966:206,false,863,390,8,8,C00671,(S)-3-Methyl-2-oxopentanoate,[C00671],[cpd:C00671],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00671,
1610,L-Isoleucine,1610,path:ath00966:205,path:ath00966:205,false,923,390,8,8,C00407,L-Isoleucine,[C00407],[cpd:C00407],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00407,
1607,Glucocochlearin,1607,path:ath00966:204,path:ath00966:204,false,1193,390,8,8,C08407,Glucocochlearin,[C08407],[cpd:C08407],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08407,
1604,2-Oxoisocaproate,1604,path:ath00966:203,path:ath00966:203,false,863,278,8,8,C00233,2-Oxoisocaproate,[C00233],[cpd:C00233],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00233,
1601,L-Leucine,1601,path:ath00966:202,path:ath00966:202,false,923,278,8,8,C00123,L-Leucine,[C00123],[cpd:C00123],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00123,
1598,Isobutyl glucosinolate,1598,path:ath00966:201,path:ath00966:201,false,1193,278,8,8,C17256,Isobutyl glucosinolate,[C17256],[cpd:C17256],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17256,
1595,2-Ketovaline,1595,path:ath00966:200,path:ath00966:200,false,863,178,8,8,C00141,2-Ketovaline,[C00141],[cpd:C00141],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00141,
1592,L-Valine,1592,path:ath00966:199,path:ath00966:199,false,923,178,8,8,C00183,L-Valine,[C00183],[cpd:C00183],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00183,
1589,Glucoputranjivin,1589,path:ath00966:198,path:ath00966:198,false,1193,178,8,8,C08418,Glucoputranjivin,[C08418],[cpd:C08418],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08418,
1586,BCAT-1,1586,path:ath00966:197,path:ath00966:197,false,893,390,1,1,BCAT-1...,BCAT-1,[BCAT-1...],"[ath:AT1G10060, ath:AT1G10070, ath:AT1G50090, ath:AT1G50110, ath:AT3G49680, ath:AT5G65780]","#66CC66","#FFFFFF",rn:R02199,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G10060+ath:AT1G10070+ath:AT1G50090+ath:AT1G50110+ath:AT3G49680+ath:AT5G65780," branched-chain amino acid transaminase 1 [KO:K00826] [EC:2.6.1.42]"
1583,BCAT-1,1583,path:ath00966:196,path:ath00966:196,false,893,278,1,1,BCAT-1...,BCAT-1,[BCAT-1...],"[ath:AT1G10060, ath:AT1G10070, ath:AT1G50090, ath:AT1G50110, ath:AT3G49680, ath:AT5G65780]","#66CC66","#FFFFFF",rn:R01090,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G10060+ath:AT1G10070+ath:AT1G50090+ath:AT1G50110+ath:AT3G49680+ath:AT5G65780," branched-chain amino acid transaminase 1 [KO:K00826] [EC:2.6.1.42]"
1580,BCAT-1,1580,path:ath00966:195,path:ath00966:195,false,893,178,1,1,BCAT-1...,BCAT-1,[BCAT-1...],"[ath:AT1G10060, ath:AT1G10070, ath:AT1G50090, ath:AT1G50110, ath:AT3G49680, ath:AT5G65780]","#66CC66","#FFFFFF",rn:R01214,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G10060+ath:AT1G10070+ath:AT1G50090+ath:AT1G50110+ath:AT3G49680+ath:AT5G65780," branched-chain amino acid transaminase 1 [KO:K00826] [EC:2.6.1.42]"
1577,K13401,1577,path:ath00966:190,path:ath00966:190,false,949,178,1,1,K13401,K13401,[K13401],[ko:K13401],"#000000","#FFFFFF",rn:R08663,ortholog,circle,https://www.kegg.jp/dbget-bin/www_bget?K13401,
1574,K14984,1574,path:ath00966:180,path:ath00966:180,false,949,390,1,1,K14984,K14984,[K14984],[ko:K14984],"#000000","#FFFFFF",rn:R09403,ortholog,circle,https://www.kegg.jp/dbget-bin/www_bget?K14984,
1571,p-Hydroxybenzyldesulphoglucosinolate,1571,path:ath00966:179,path:ath00966:179,false,1139,877,8,8,C17240,p-Hydroxybenzyldesulphoglucosinolate,[C17240],[cpd:C17240],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17240,
1568,p-Hydroxyphenylacetothiohydroximate,1568,path:ath00966:178,path:ath00966:178,false,1085,877,8,8,C17239,p-Hydroxyphenylacetothiohydroximate,[C17239],[cpd:C17239],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17239,
